LM.Name	AJ_ml_sdx	AJ_ml_sdy	AJ_ml_sdz	AJ_ml_avg_sd	AJ_auto_sdx	AJ_auto_sdy	AJ_auto_sdz	AJ_auto_avg_sd	X_Fvalue	X_pvalue	Y_Fvalue	Y_pvalue	Z_Fvalue	Z_pvalue	Mean_Fvalue	Mean_pvalue
Alar curvature left	0.122220245268504	0.375169012522229	0.422654394738497	0.306681217509743	0.032802759615105	0.0968384176095536	0.0887803678561869	0.0728071816936152	11.0425720015678	0.00134458351192744	35.463062146087	6.6071034667627e-08	51.1242449330548	3.64679457491038e-10	59.6244205752696	2.8320917113843e-11
Alar curvature right	0.12187531513134	0.336881767297005	0.527283203011626	0.328680095146657	0.0809109059822558	0.17024156836594	0.388744842398322	0.213299105582173	4.68161422675094	0.0334707269684397	9.17965930162016	0.00329501668285761	33.6410211393016	1.26986023026903e-07	22.2346405099262	1.00611139861442e-05
Chelion left	0.59483202153961	0.296524941248798	0.363096457721482	0.418151140169963	0.35283043639873	0.102445531430336	0.144124620972136	0.199800196267068	5.5591683490713	0.0208268298984015	6.55404211400283	0.0123466407053889	4.2438649525453	0.0426435474791636	4.64532793239397	0.034144329016825
Chelion right	0.426908533096854	0.271230064523425	0.197127573389323	0.298422057003201	0.0999052512019751	0.0576359703369924	0.0335239755656337	0.063688399034867	36.134140092704	5.20861617565783e-08	36.8235618781256	4.08580432387226e-08	11.5381361445118	0.00106447133450147	24.5101283924721	4.03036054781346e-06
Crista philtri left	0.516877810540508	0.458412152291181	0.188964226809771	0.388084729880487	0.476146087857306	0.478026816351927	0.189138512383628	0.381103805530954	22.1841540212235	1.02701561996184e-05	32.0376458446312	2.27806582791703e-07	0.632139444933606	0.428924208638458	29.1831887798755	6.59820549863266e-07
Crista philtri right	0.653585121569907	0.569767098239014	0.197644968595069	0.473665729467997	0.545127322891441	0.563196397282865	0.233264896700337	0.447196205624881	21.1578493394405	1.56408065138926e-05	17.3074401457209	7.94268426176186e-05	0.000113009508833296	0.991544639316903	18.1684693249114	5.48568481266425e-05
Endocanthion left	0.588163372221103	0.328603444005065	0.391725659106109	0.436164158444092	0.502865723526363	0.205706118170648	0.342611249247737	0.350394363648249	20.9140765617306	1.72970468892703e-05	6.80836149784041	0.0108259060711621	6.12012269583375	0.0154817464859226	14.1999557263235	0.000312971969632625
Endocanthion right	0.482844703673643	0.268873041919471	0.330615536471857	0.360777760688324	0.450736605408879	0.121471439784915	0.228373596431293	0.266860547208362	26.7345521838626	1.68427624964837e-06	13.8027356976631	0.00037454003416022	28.3520025551051	9.04535705083884e-07	28.4103236643096	8.84656978554182e-07
Exocanthion left	0.36349887621484	0.270482715892903	0.249844396019246	0.294608662708996	0.0388937385855102	0.147018619799252	0.0563934838217921	0.0807686140688514	30.9195926309544	3.44279827819905e-07	23.9728936774609	4.99159926566902e-06	23.1587832260132	6.91940340004707e-06	47.7334262875473	1.06101824638306e-09
Exocanthion right	0.352403623469394	0.237369422725143	0.266803461096486	0.285525502430341	0.137491862805493	0.0580971367899909	0.0927875828605392	0.0961255274853409	21.8815682230718	1.16201684831437e-05	22.4639784015913	9.16518619447519e-06	16.440860183132	0.000115757915966862	28.0099906626946	1.0307126160862e-06
